"AMD","AMZN","NKE","VALE","NOK","AAL","CCL","TGT","DQ","BAC","IWN","AMD*","AMZN*","NKE*","VALE*","NOK*","AAL*","CCL*","TGT*","DQ*","BAC*"
20.25,1693.219971,76.982719,11.475398,5.856435,33.04565,50.820034,64.723,5.61,27.08342,110.399918,410.0625,2866993.87019324,5926.33902463296,131.684759258404,34.297830909225,1092.0149839225,2582.67585576116,4189.066729,31.4721,733.5116388964
20.77,1696.199951,78.266899,11.586424,5.983749,33.429447,52.091961,65.945236,5.866,27.373034,111.439461,431.3929,2877094.2737724,6125.7074790762,134.245221107776,35.805252095001,1117.52792672581,2713.57240082552,4348.7741510957,34.409956,749.282990365156
19.76,1632.170044,78.558754,11.459537,5.846642,32.219025,51.75024,65.572029,6.056,27.176846,109.870705,390.4576,2663979.05253096,6171.47783003252,131.320988254369,34.183222676164,1038.06557195063,2678.0873400576,4299.69098717684,36.675136,738.580958507716
19.799999,1640.02002,78.315544,11.697451,5.924989,31.146364,51.512951,65.60936,6.236,27.018026,109.728943,392.039960400001,2689665.6660008,6133.32443201594,136.830359897401,35.105494650121,970.095990420496,2653.5841207284,4304.5881196096,38.887696,729.973728936676
20.85,1654.930054,78.257179,11.784687,6.032716,33.124378,52.224846,65.879929,6.632,27.167503,110.352654,434.7225,2738793.48363244,6124.18606503804,138.878847687969,36.393662336656,1097.22441788688,2727.43453972372,4340.16504504504,43.983424,738.073219255009
21.93,1670.569946,78.422562,10.83303,6.463624,34.423378,52.689949,67.540688,6.908,27.634615,111.571777,480.9249,2790803.94447844,6150.09823064384,117.3545389809,41.778435213376,1184.96895293088,2776.2307256226,4561.74453551334,47.720464,763.671946198225
20.18,1637.890015,78.140427,8.882132,6.355897,35.988075,53.534737,67.288765,6.938,27.68133,111.269363,407.2324,2682683.7012367,6105.92633174233,78.892268865424,40.397426674609,1295.14154220563,2865.96806565917,4527.77789522522,48.135844,766.2560305689
19.25,1593.880005,78.043152,9.104185,6.414657,35.712532,53.401844,66.896904,6.736,27.457113,111.222107,370.5625,2540453.4703388,6090.7335740951,82.886184514225,41.147824427649,1275.38494185102,2851.75694260034,4475.19576478522,45.373696,753.893054294769
23.09,1670.430054,79.074371,9.984468,6.434244,35.76173,54.512409,67.484711,7.386,27.158155,112.138794,533.1481,2790336.56530644,6252.75614904564,99.689601243024,41.399495851536,1278.9013325929,2971.60273498328,4554.18621875352,54.552996,737.565383004025
24.41,1718.72998,79.658096,9.865511,6.21879,35.200806,54.654793,68.109833,8.012,26.597618,112.715271,595.8481,2954032.7441508,6345.41225834522,97.328307291121,38.6733490641,1239.09674304964,2987.14639787285,4638.94935128789,64.192144,707.433283273924
24.51,1626.22998,79.298141,9.968607,6.003335,35.535397,54.778187,66.402397,6.956,26.513538,112.847588,600.7401,2644623.9478508,6288.19516605588,99.373125520449,36.040031122225,1262.76443994761,3000.64977100697,4409.27832734561,48.385936,702.967697277444
