"AMD.Adjusted","AMZN.Adjusted","NKE.Adjusted","VALE.Adjusted","NOK.Adjusted","AAL.Adjusted","CCL.Adjusted","TGT.Adjusted","DQ.Adjusted","BAC.Adjusted","IWS.Adjusted","IWN.Adjusted"
26,1761.849976,85.529922,10.86475,6.21879,31.17207,54.682751,73.852959,7.052,27.841434,81.978737,114.784912
25.700001,1797.27002,84.55455,10.69821,6.160029,30.550407,54.117924,72.986992,7.14,26.89304,81.403496,113.75705
27.889999,1819.26001,85.842041,10.674419,6.13065,31.033926,54.81678,74.822479,6.528,26.461105,82.434769,114.801064
26.370001,1764.77002,80.165413,10.166869,5.758501,30.165565,54.012619,73.721176,6.29,25.362471,80.883141,111.023705
25.969999,1774.26001,80.301949,10.19859,5.748708,29.810328,54.232807,73.918854,6.34,25.202837,80.911507,111.488754
25.690001,1783.76001,81.326073,10.325479,5.699741,29.810328,49.503586,74.954262,6.234,25.550268,81.640038,112.912376
24.889999,1765.699951,81.043236,10.047912,5.699741,30.530672,48.498394,75.133102,6.21,25.38125,81.460266,112.997787
25.059999,1773.420044,81.969826,10.016191,5.572428,30.491201,48.192047,75.603752,6.474,25.662949,81.867088,113.804527
25.52,1780.75,82.135643,10.357202,5.601807,31.339825,48.555836,75.547264,6.606,25.907093,82.179314,113.795029
26.360001,1814.189941,83.130531,10.769584,5.650774,31.922018,49.963108,75.2743,7.104,26.799147,83.125443,115.304077
26.75,1813.97998,82.291702,10.682351,5.689948,32.553551,50.135429,74.79425,6.976,27.109015,83.049744,114.820038
29.02,1820.699951,82.389252,10.579254,5.778088,33.264027,50.920437,74.653069,6.856,27.080843,83.220055,115.095268
29.09,1818.859985,83.179291,10.682351,5.778088,33.481113,50.834282,76.601501,7.124,27.371937,83.522797,116.177208
28.98,1837.280029,83.296333,10.618906,5.797675,33.609398,50.805565,76.187355,7.248,27.306206,84.099922,117.335106
28.530001,1849.859985,82.642838,10.959916,5.836848,33.431774,50.269451,77.119209,7.372,27.390713,84.043152,117.192741
27.24,1835.839966,82.203918,10.761654,5.738915,32.86932,49.685486,75.92379,7.022,27.127796,83.267365,115.721672
27.83,1847.329956,82.789131,10.753725,5.729121,33.569923,50.039696,76.008514,7.026,27.296816,83.844482,117.230713
27.790001,1844.069946,82.906174,10.626838,5.748708,34.349476,50.231163,75.726105,6.69,27.296816,84.024254,117.221214
27.85,1843.060059,84.115646,10.499949,5.817262,34.23106,51.284229,75.989677,7.016,28.329721,84.78112,117.847603
27.33,1844.869995,84.691116,10.531672,5.52346,33.303493,51.446976,77.16629,6.948,28.01985,84.478363,117.240189
27.93,1863.040039,85.637215,10.761654,5.562634,33.579792,52.461742,77.15686,7.126,28.057405,84.298607,117.809639
27.49,1864.819946,86.544304,10.52374,5.699741,33.925163,52.212837,77.825172,7.494,28.198259,83.806618,117.37307
27.68,1861.689941,87.002731,10.563394,5.689948,33.915295,51.341671,78.371124,7.46,28.198259,83.958008,116.88903
28.18,1887.310059,85.208046,10.357202,5.689948,33.037067,50.805565,77.203941,7.526,28.217035,83.617401,115.958931
